Team Name,Boys Website,Girls Website,Rink Name,Boys Rink,Girls Rink,Address,Phone #,Boys Ages,Girls Ages,Boys Leagues,Girls Leagues,Logo
495 Stars,https://www.495stars.org/,https://www.495stars.org/,O'Brien Arena,New England Sports Center (Marlborough),New England Sports Center (Marlborough),"55 Locust St, Woburn, MA 01801",(781) 938-1620,U8-U18,U8-U18,"NEPHL, PHL",NEPHL,team-logos/logo-495-Stars.png
95 Giants,https://lovellhockey.com/giants/,https://lovellhockey.com/giants/,New England Sports Village,New England Sports Village (Attleboro),New England Sports Village (Attleboro),"1395 Commerce Way, Attleboro, MA 02703",(774) 225-6800,U8-U19,U8-U19,"E9HL, BHL","E9HL, BHL",team-logos/logo-95-Giants.png
Advantage,https://www.bostonadvantagehockey.com/,https://www.bostonadvantagehockey.com/,Pilgrim Skating Arena,Pilgrim Skating Arena (Hingham),Pilgrim Skating Arena (Hingham),"75 Recreation Park Drive, Hingham, MA 02043",,U10-U18,U10-U18,"BHL, E9HL, ECEL",NEGHL,team-logos/logo-Advantage.png
Americans,https://www.thebostonamericans.com/,https://www.thebostonamericans.com/,Boston area rinks,Hockeytown / area rinks,Hockeytown / area rinks,Massachusetts,,U8-16U,U8-16U,"E9HL, BHL",NEGHL,team-logos/logo-Americans.png
Assabett,,https://www.assabetgirls.com/,Valley Sports Arenas,Valley Sports Arenas,Valley Sports Arena (West Concord),"2320 Main St, Concord, MA 01742",,U8-U19,U8-U19,,NEGHL,team-logos/logo-Assabett.png
Austin Preparatory School,https://www.austinprep.org/,https://www.austinprep.org/,Austin Prep (Reading),Austin Prep (Reading),Austin Prep (Reading),"101 Willow St, Reading, MA 01867",(781) 944-4900,Grades 6-12,Grades 6-12,NEPSAC,NEPSAC,team-logos/logo-Austin-Preparatory-School.png
Barnstable Raiders,https://www.byha.net/,https://www.byha.net/,Hyannis Youth & Community Center,Hyannis Youth & Community Center,Hyannis Youth & Community Center,"141 Bassett Ln, Hyannis, MA 02601",,Squirt-Bantam-Midget,Squirt-Bantam-Midget,"PHL, SSC",BSHL,team-logos/logo-Barnstable-Raiders.png
Bay State Breakers,https://baystatebreakers.com/,https://baystatebreakers.com/,Hobomock Arenas/Rockland Ice Rink/Bog Ice Arena,Hobomock/Rockland/Bog,Hobomock/Rockland/Bog,Pembroke/Rockland/Kingston MA,,U8-U18,U8-U18,"EHF, NEGHL",NEGHL,team-logos/logo-Bay-State-Breakers.png
Baystate Waves,,https://baystatewaves.com,,,Massachusetts,Massachusetts,,,,,EHF,team-logos/logo-Baystate-Waves.png
Berkshire School,https://www.berkshireschool.org/,https://www.berkshireschool.org/,Berkshire School Rink,Berkshire School Rink,Berkshire School Rink,"245 North Undermountain Rd, Sheffield, MA 01257",(413) 229-8511,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Berkshire-School.png
Berlin,https://www.berlinyouthhockey.org/,https://www.berlinyouthhockey.org/,,Notre Dame Arena (Berlin NH),Notre Dame Arena (Berlin NH),"15 Hillside Ave, Berlin, NH 03570",,,,NHAHA,NHAHA,team-logos/logo-Berlin.png
Berwick Academy,https://www.berwickacademy.org/,https://www.berwickacademy.org/,Berwick Academy,Berwick Academy,Berwick Academy,"31 Academy St, South Berwick, ME 03908",,Grades 6-12,Grades 6-12,NEPSAC,NEPSAC,team-logos/logo-Berwick-Academy.png
Boch Blazers,https://www.bochblazers.com/,https://www.bochblazers.com/,Boch Ice Center,Boch Ice Center (Dedham),Boch Ice Center (Dedham),"1105 East St, Dedham, MA 02026",(781) 326-0085,U6-U19,U6-U19,EHF,NEGHL,team-logos/logo-Boch-Blazers.png
Boston Bull Dogs,https://www.boston-bulldogs.com/,https://www.boston-bulldogs.com/,Quincy/Flynn Rink Medford,Quincy/Flynn Medford,Quincy/Flynn Medford,,,15U/16U/18U,15U/16U/18U,EHF,EHF,team-logos/logo-Boston-Bull-Dogs.png
Boston Dogs,https://www.boston-bulldogs.com/,,,Canton Sportsplex,Canton Sportsplex,See Boston Bulldogs,,,,EHF,,team-logos/logo-Boston-Dogs.png
Boston Jr. Bruins,https://bostonjuniorbruins.com/,https://bostonjuniorbruins.com/,New England Sports Center,New England Sports Center,New England Sports Center,"121 Donald Lynch Blvd, Marlborough, MA 01752",(508) 820-1600,U8-U20,U8-U20,"EHF, USPHL","Rose Series, AAA",team-logos/logo-Boston-Jr--Bruins.png
Boston Jr. Eagles,https://bostonjunioreagles.com/,,Boston Sports Institute,Boston Sports Institute,Boston Sports Institute,,,U8-U18,U8-U18,"EHF, EHL",,team-logos/logo-Boston-Jr--Eagles.png
Boston Jr. Huskies,https://www.bostonjrhuskies.com/,https://www.bostonjrhuskies.com/,Canton Ice House,Canton Ice House,Canton Ice House,65 North St Canton MA 02021,,U8-U18,U8-U18,EHF,ESGHL,team-logos/logo-Boston-Jr--Huskies.png
Boston Jr. Rangers,https://bostonjrrangers.com/,,Breakaway Ice Center,Breakaway Ice Center,Breakaway Ice Center,"20 Carter St, Tewksbury, MA 01876",,Mite-U18,Mite-U18,E9HL,,team-logos/logo-Boston-Jr--Rangers.png
Boston Jr. Terriers,https://bostonjuniorterriers.com/,https://bostonjuniorterriers.com/,Canton Ice House / Mark Bavis Sports Complex,Canton/Mark Bavis,Canton/Mark Bavis,"65 North Street, Canton, MA 02021",,Mite-Junior,Mite-Junior,"EHF, NEGHL, EHL, NCDC",NEGHL,team-logos/logo-Boston-Jr--Terriers.png
Brewster Lady Bulldogs,,https://brewstericearena.com/,Brewster Ice Arena,Brewster Ice Arena,Brewster Ice Arena (NY),"63 Fields Ln, Brewster, NY 10509",,14U-19U,14U-19U,,"NEGHL, AGHF",team-logos/logo-Brewster-Lady-Bulldogs.png
Brewster School,https://www.brewsterschool.org/,https://www.brewsterschool.org/,Brewster Academy,Brewster Academy (Wolfeboro NH),Brewster Academy (Wolfeboro NH),"80 Academy Drive, Wolfeboro, NH 03894",,Grades 9-12,Grades 9-12,NEPSAC,NEPSAC,team-logos/logo-Brewster-School.png
