Date,Platform,Post Type,Content,Hashtags
2025-03-01,Facebook,Launch Day,"Youth hockey decisions are expensive and confusing. Most of what families need to make them — real experiences, honest information about teams and coaches — is scattered across texts, group chats, and word of mouth. We're in a foundational phase of building transparency for parents. Profiles, events, facilities, and schools in one place. No hype, no pressure. Just clarity. If this is useful to your family, free accounts are open at myhockeyrecruiting.com",
2025-03-01,Instagram,Launch Day,"Youth hockey decisions are expensive. And most of what families need to make them isn't easy to find. We're building transparency for parents — profiles, events, facilities, schools. Foundational phase. Free accounts open. Link in bio.",#youthhockey #hockeyparent #hockeyfamily
2025-03-03,Facebook,Standalone Tip,"The most important information in youth hockey is rarely public. Which coaches develop players well. Which programs are worth the cost. What other families actually experienced. That gap creates stress. Parents fill it with guessing. The antidote isn't more hype. It's more transparency. If you want clarity for your family, we're here.",
2025-03-03,Instagram,Standalone Tip,"The best info in youth hockey usually stays private. Coaches, programs, real experiences — most parents are guessing. Transparency helps. Calm, grounded, no hype. Link in bio.",#youthhockey #hockeyparent #hockeymom
2025-03-05,Facebook,Blog Share: Youth Hockey Tryouts,"Most parents are guessing when it comes to youth hockey tryouts. What to expect. How to prepare. What happens after. Our guide breaks down the basics: what to ask, what to watch for, and how to support your child through the process. No drama, no fear-mongering. Just clarity. If this resonated, pass it to another hockey parent. Full post: [link]",
2025-03-05,Instagram,Blog Share: Youth Hockey Tryouts,"Youth hockey tryouts: most parents are guessing. What to expect, how to prepare, what happens after. We put together a calm, practical guide. Link in bio.",#youthhockey #hockeytryouts #hockeyparent
2025-03-07,Facebook,Standalone Tip,"Youth hockey can feel like a maze. Different levels, different costs, different politics. It's hard to know if you're making the right call. Informed decisions come from real information — not pressure, not urgency. This is for parents who want clarity. Free accounts are open.",
2025-03-07,Instagram,Standalone Tip,"Youth hockey = maze. Levels, costs, politics. Hard to know if you're making the right call. Clarity helps. No pressure. Link in bio.",#youthhockey #hockeyparent #hockeyfamily
2025-03-08,Facebook,Blog Share: AAA vs AA,"AAA vs AA hockey — the labels sound simple. The reality is anything but. Different regions, different expectations, different costs. We broke down what the tiers actually mean and when each might be the right fit. Not ""which is better"" but ""what makes sense for your family."" Read the full post: [link]. If it helps, share with another hockey parent.",
2025-03-08,Instagram,Blog Share: AAA vs AA,"AAA vs AA — labels sound simple. Reality isn't. Different regions, expectations, costs. We explain what the tiers mean and when each fits. Link in bio.",#youthhockey #AAAhockey #hockeyparent
2025-03-10,Facebook,Standalone Tip,"Parents are told to ""trust the process."" But what process? Who's driving it? And what does your family actually need? Clarity reduces anxiety. Not by promising outcomes, but by making the landscape visible. If you're tired of guessing, we're here.",
2025-03-10,Instagram,Standalone Tip,"""Trust the process"" — but what process? Who's driving it? Clarity helps. Not promises, just visibility. Link in bio.",#youthhockey #hockeyparent #hockeyfamily
2025-03-12,Facebook,Cost of Youth Hockey,"The cost of youth hockey is rarely discussed openly. Families find out piece by piece — equipment, ice time, travel, tryout fees. No one wants to be surprised. Or to feel like they're spending blindly. Transparency around costs helps families plan and decide. That's part of what we're building. Free accounts open.",
2025-03-12,Instagram,Cost of Youth Hockey,"Cost of youth hockey? Rarely discussed openly. Families find out piece by piece. Transparency helps. Plan, decide, reduce surprises. Link in bio.",#youthhockey #hockeyparent #hockeyfamily
2025-03-14,Facebook,Contribution Frame,"Verified parents contribute reviews to help other families. Not for access — for clarity. When you share what you've learned about a coach, team, or program, you're contributing to something useful. Other parents can make more informed decisions. If that resonates, consider joining. Free accounts are open.",
2025-03-14,Instagram,Contribution Frame,"Verified parents contribute reviews. For clarity, not access. Share what you've learned. Help other families decide. Link in bio.",#youthhockey #hockeyparent #hockeyrecruiting
2025-03-15,Facebook,Youth Hockey Levels,"Youth hockey levels can feel like a secret code. U8, U10, U12. Tier 1, Tier 2. Every region does it slightly differently. The goal isn't to memorize labels. It's to understand what they mean for development, cost, and fit. We're building resources for parents who want that clarity. Free accounts open.",
2025-03-15,Instagram,Youth Hockey Levels,"Youth hockey levels = secret code. U8, U10, tier this, tier that. Understanding beats memorizing. Link in bio.",#youthhockey #hockeyparent #hockeydevelopment
2025-03-17,Facebook,Standalone Tip,"Timing pressure in youth hockey is real. Tryouts, deadlines, decisions that feel irreversible. The antidote isn't rushing. It's having enough information to decide with confidence. This is for parents who want clarity without hype.",
2025-03-17,Instagram,Standalone Tip,"Tryouts. Deadlines. Decisions that feel irreversible. Clarity before pressure. Link in bio.",#youthhockey #hockeytryouts #hockeyparent
2025-03-19,Facebook,Blog Share: Coach Evaluation,"Hockey recruiting parents face a hard question: how do you evaluate a coach or program when so much is behind closed doors? We put together a practical guide — what to look for, what to ask, and how to think about fit. No shortcuts, no hype. Full post: [link]. Pass it on if it helps.",
2025-03-19,Instagram,Blog Share: Coach Evaluation,"How do you evaluate a coach when so much is behind closed doors? Practical guide: what to look for, what to ask. Link in bio.",#youthhockey #hockeyrecruiting #hockeyparent
2025-03-21,Facebook,Early Participation Frame,"We're in a foundational phase. Building transparency for youth hockey families. Profiles, events, facilities, schools — in one place. Early participation means your input shapes what gets built. Reviews, feedback, questions. If this is useful to your family, free accounts are open.",
2025-03-21,Instagram,Early Participation Frame,"Foundational phase. Building transparency for hockey families. Early participation = your input shapes what we build. Link in bio.",#youthhockey #hockeyparent #hockeyfamily
2025-03-24,Facebook,Standalone Tip,"Misinformation travels fast in youth hockey. ""You have to make AAA by 12."" ""If you don't travel, you're done."" A lot of it is noise. Clarity comes from real experiences, not rumors. We're building a place for that. Free accounts open.",
2025-03-24,Instagram,Standalone Tip,"""You have to make AAA by 12."" ""If you don't travel, you're done."" A lot of it is noise. Real experiences beat rumors. Link in bio.",#youthhockey #hockeyparent #AAAhockey
2025-03-26,Facebook,Facilities/Training,"Training facilities vary wildly — quality, cost, fit. Parents often rely on word of mouth or a single recommendation. More transparency helps. Who offers what. What other families experienced. Where to find ID skates and tryouts. If you want clarity on facilities and events, we're here. Free accounts open.",
2025-03-26,Instagram,Facilities/Training,"Training facilities: quality, cost, fit — all over the map. Most parents rely on one recommendation. More transparency helps. Link in bio.",#youthhockey #hockeytraining #hockeyparent
2025-03-28,Facebook,Soft CTA,"Youth hockey parents are tired of guessing. Tired of politics, hidden costs, and decisions made in the dark. We're building transparency. Not hype. Not pressure. Just clarity. If this is useful to your family, free accounts are open.",
2025-03-28,Instagram,Soft CTA,"Tired of guessing? Politics, costs, decisions in the dark? Transparency, not hype. Free accounts open. Link in bio.",#youthhockey #hockeyparent #hockeyfamily
2025-04-01,Facebook,Post-Tryout Season,"Tryout season is winding down. Some families are relieved. Some are disappointed. Most are still processing. Whatever your outcome, the next step isn't panic. It's clarity. What does your child need now? Development, rest, connection? We're here for parents who want informed decisions, not pressure.",
2025-04-01,Instagram,Post-Tryout Season,"Tryouts winding down. Relief, disappointment, processing — all valid. Next step: clarity. What does your child need now? Link in bio.",#youthhockey #hockeytryouts #hockeyparent
2025-04-03,Facebook,Development Over Labels,"Level does not define a child's future. Playing ""lower"" can be the right choice. Development happens at different paces. That's hard to remember when everyone around you is comparing labels. We believe in development over labels. If that resonates, we're here.",
2025-04-03,Instagram,Development Over Labels,"Level doesn't define the future. ""Lower"" can be the right choice. Development over labels. Link in bio.",#youthhockey #hockeydevelopment #hockeyparent
2025-04-05,Facebook,Schools/Prep,"School decisions in hockey add another layer. Prep, showcase, academics, fit. It's a lot to weigh. Transparency helps. Real experiences from families who've been there. If you're thinking ahead, we're building resources for that. Free accounts open.",
2025-04-05,Instagram,Schools/Prep,"School decisions in hockey = another layer. Prep, academics, fit. Transparency helps. Real experiences. Link in bio.",#youthhockey #hockeyrecruiting #hockeyparent
2025-04-07,Facebook,Standalone Tip,"The best decisions in youth hockey come from clarity, not fear. Not ""what if we fall behind?"" but ""what does our family actually need?"" We're building transparency for parents who want to decide from a place of confidence. Free accounts are open.",
2025-04-07,Instagram,Standalone Tip,"Best decisions come from clarity, not fear. ""What does our family need?"" not ""What if we fall behind?"" Clarity. Confidence. Link in bio.",#youthhockey #hockeyparent #hockeyfamily
2025-04-09,Facebook,Contribution Frame,"Verified parents contribute reviews. Not for status — to help other families make informed decisions. When you share what you've learned, you reduce the guesswork for someone else. If that sounds useful, consider joining. Free accounts are open.",
2025-04-09,Instagram,Contribution Frame,"Verified parents contribute reviews. To help other families decide. Your experience = less guesswork for someone else. Link in bio.",#youthhockey #hockeyparent #hockeyrecruiting
2025-04-11,Facebook,Cost Transparency,"The cost of youth hockey adds up quietly. Equipment, ice, travel, camps, tryouts. Families often find out too late. Transparency around costs lets you plan. Compare. Decide with eyes open. We're building that. Free accounts open.",
2025-04-11,Instagram,Cost Transparency,"Youth hockey costs add up quietly. Equipment, ice, travel, camps. Transparency lets you plan. Decide with eyes open. Link in bio.",#youthhockey #hockeyparent #hockeyfamily
2025-04-13,Facebook,Soft CTA,"Youth hockey is emotional. High stakes. Parents want to protect their kids and not get taken advantage of. Clarity reduces that anxiety. Not by promising outcomes — by making the landscape visible. If this is useful to your family, we're here. Free accounts are open.",
2025-04-13,Instagram,Soft CTA,"Youth hockey = emotional, high stakes. Parents want clarity, not hype. We're here. Free accounts open. Link in bio.",#youthhockey #hockeyparent #hockeymom
2025-04-15,Facebook,Events/ID Skates,"ID skates and events are scattered across emails, group chats, and random posts. Hard to plan. Hard to compare. We're bringing them into one place. So parents can see what's coming, where, and when. If you want clarity on events, free accounts are open.",
2025-04-15,Instagram,Events/ID Skates,"ID skates, events — scattered everywhere. Hard to plan. One place. Clarity. Link in bio.",#youthhockey #hockeytryouts #hockeyparent
2025-04-17,Facebook,Psychological Safety,"Confidence in youth hockey is fragile. Kids remember how it felt — the rink, the team, the adults in the room. We write about that. No diagnosing, no shaming. Just recognition of the emotional toll and how to protect it. If that resonates, read more at [link]. Pass it on.",
2025-04-17,Instagram,Psychological Safety,"Kids remember how hockey felt. The rink, the team, the adults. Confidence is fragile. We're here for clarity. Link in bio.",#youthhockey #hockeyparent #hockeyfamily
2025-04-19,Facebook,Foundational Phase Reminder,"We're in a foundational phase. Building transparency for youth hockey families. Setting the standard for what informed decisions can look like. Early participation shapes what we build. Reviews, feedback, questions. If this is useful to your family, free accounts are open.",
2025-04-19,Instagram,Foundational Phase Reminder,"Foundational phase. Building transparency. Setting the standard. Early participation shapes what we build. Link in bio.",#youthhockey #hockeyparent #hockeyrecruiting
2025-04-22,Facebook,Standalone Tip,"Parents are often told to ""just let it play out."" But playing out doesn't mean flying blind. Informed decisions come from real information. What other families experienced. What programs actually offer. What costs add up to. Transparency helps. We're here.",
2025-04-22,Instagram,Standalone Tip,"""Just let it play out"" — but that doesn't mean flying blind. Informed decisions need real info. Link in bio.",#youthhockey #hockeyparent #hockeyfamily
2025-04-24,Facebook,Coach Evaluation,"Evaluating a coach or program is hard. So much happens behind closed doors. Word of mouth helps, but it's fragmented. We're building a place for verified parents to contribute their experiences. So other families can decide with more clarity. Free accounts open.",
2025-04-24,Instagram,Coach Evaluation,"Evaluating coaches = hard. So much behind closed doors. Verified parents contribute experiences. More clarity. Link in bio.",#youthhockey #hockeyrecruiting #hockeyparent
2025-04-26,Facebook,Soft CTA,"April is winding down. Spring seasons, summer plans, fall tryouts already on the horizon. Whatever your family is facing, clarity helps. Profiles, events, facilities, schools — in one place. If this is useful to your family, free accounts are open.",
2025-04-26,Instagram,Soft CTA,"Spring seasons. Summer plans. Fall tryouts already on the horizon. Clarity helps. Free accounts open. Link in bio.",#youthhockey #hockeyparent #hockeytryouts
